@relation storm

@attribute NumberRevisions real
@attribute NumberAuthors real
@attribute LOC real
@attribute AGE real
@attribute CHURN real
@attribute LOC_TOUCHED real
@attribute AvgLocAdded real
@attribute MaxLocAdded real
@attribute AvgChgSet real
@attribute MaxChgSet real
@attribute numImports real
@attribute numComments real
@attribute Buggy {Yes, No}

@data
2,2,294,10,588,588,294,294,216,266,66,52,No
2,2,80,10,160,160,80,80,216,266,16,48,No
2,2,78,9,156,156,78,78,216,266,20,34,No
2,2,76,9,152,152,76,76,216,266,16,34,No
3,3,320,12,638,662,216,323,144,266,99,87,No
3,3,83,10,166,167,55,83,144,266,27,69,No
2,2,70,10,140,140,70,70,216,266,20,34,No
2,2,74,10,148,148,74,74,216,266,20,34,No
2,2,80,10,160,160,80,80,216,266,18,34,No
2,2,75,10,150,150,75,75,216,266,16,34,No
2,2,82,10,164,164,82,82,216,266,14,34,No
2,2,97,10,194,194,97,97,216,266,4,34,No
2,2,47,10,94,94,47,47,216,266,6,36,No
2,2,38,10,76,76,38,38,216,266,8,34,No
2,2,25,10,50,50,25,25,216,266,2,34,No
2,2,65,10,130,130,65,65,216,266,14,34,No
2,2,127,10,254,254,127,127,216,266,34,42,No
2,2,117,10,234,234,117,117,216,266,30,36,No
2,2,58,10,116,116,58,58,216,266,16,40,No
2,2,88,10,176,176,88,88,216,266,18,34,No
2,2,40,10,80,80,40,40,216,266,12,34,No
2,2,97,10,194,194,97,97,216,266,32,36,No
2,2,103,10,206,206,103,103,216,266,36,36,No
2,2,101,9,202,202,101,101,216,266,42,36,No
2,2,95,10,190,190,95,95,216,266,38,36,No
2,2,16,10,32,32,16,16,216,266,4,0,No
6,4,1436,99,21,79,8,20,57,266,42,4295,Yes
1,1,351,87,6,7,6,6,266,266,2,118,No
1,1,445,99,29,57,31,31,266,266,17,148,No
1,1,447,99,11,11,11,11,266,266,20,17,No
2,2,114,99,12,12,6,6,216,266,22,34,No
2,2,253,99,0,28,7,7,216,266,56,40,No
1,1,52,99,0,4,0,0,266,266,3,17,No
1,1,394,99,1,12,1,1,266,266,25,18,No
2,2,124,99,0,8,0,0,216,266,38,40,No
2,2,406,99,160,214,82,82,216,266,50,92,No
2,2,406,42,160,214,82,82,216,266,50,92,No
2,2,514,99,206,268,105,105,216,266,50,100,No
2,2,1390,99,1068,1174,536,536,216,266,50,164,No
2,2,714,99,358,440,180,180,216,266,50,110,No
2,2,852,99,460,556,231,231,216,266,50,126,No
2,2,462,99,6,146,3,3,216,266,50,76,No
2,2,458,42,236,292,120,120,216,266,50,96,No
2,2,406,99,160,214,82,82,216,266,50,92,No
2,2,507,99,192,254,98,98,216,266,50,100,No
